date,total,Holidays,outbreak
26.5.2008,41,0,0
27.5.2008,37,0,0
28.5.2008,38,0,0
29.5.2008,32,0,0
30.5.2008,35,0,0
31.5.2008,55,0,0
1.6.2008,53,0,0
2.6.2008,39,0,0
3.6.2008,33,0,0
4.6.2008,38,0,0
5.6.2008,31,0,0
6.6.2008,32,0,0
7.6.2008,53,0,0
8.6.2008,49,0,0
9.6.2008,43,0,0
10.6.2008,35,0,0
11.6.2008,36,0,0
12.6.2008,35,0,0
13.6.2008,37,0,0
14.6.2008,54,0,0
15.6.2008,54,0,0
16.6.2008,37,0,0
17.6.2008,39,0,0
18.6.2008,36,0,0
19.6.2008,37,0,0
20.6.2008,35,0,0
21.6.2008,52,0,0
22.6.2008,49,0,0
23.6.2008,36,0,0
24.6.2008,36,0,0
25.6.2008,35,0,0
26.6.2008,40,0,0
27.6.2008,39,0,0
28.6.2008,41,0,0
29.6.2008,47,0,0
30.6.2008,39,0,0
1.7.2008,30,0,0
2.7.2008,33,0,0
3.7.2008,35,0,0
4.7.2008,30,0,0
5.7.2008,34,0,0
6.7.2008,42,0,0
7.7.2008,33,0,0
8.7.2008,31,0,0
9.7.2008,34,0,0
10.7.2008,31,0,0
11.7.2008,28,0,0
12.7.2008,45,0,0
13.7.2008,37,0,0
14.7.2008,33,0,0
15.7.2008,32,0,0
16.7.2008,26,0,0
17.7.2008,30,0,0
18.7.2008,32,0,0
19.7.2008,46,0,0
20.7.2008,43,0,0
21.7.2008,34,0,0
22.7.2008,29,0,0
23.7.2008,28,0,0
24.7.2008,22,0,0
25.7.2008,29,0,0
26.7.2008,35,0,0
27.7.2008,38,0,0
28.7.2008,27,0,0
29.7.2008,31,0,0
30.7.2008,30,0,0
31.7.2008,24,0,0
1.8.2008,30,0,0
2.8.2008,41,0,0
3.8.2008,44,0,0
4.8.2008,30,0,0
5.8.2008,31,0,0
6.8.2008,32,0,0
7.8.2008,25,0,0
8.8.2008,30,0,0
9.8.2008,38,0,0
10.8.2008,37,0,0
11.8.2008,31,0,0
12.8.2008,23,0,0
13.8.2008,27,0,0
14.8.2008,27,0,0
15.8.2008,32,0,0
16.8.2008,40,0,0
17.8.2008,38,0,0
18.8.2008,31,0,0
19.8.2008,25,0,0
20.8.2008,30,0,0
21.8.2008,26,0,0
22.8.2008,31,0,0
23.8.2008,46,0,0
24.8.2008,47,0,0
25.8.2008,29,0,0
26.8.2008,28,0,0
27.8.2008,28,0,0
28.8.2008,30,0,0
29.8.2008,29,0,0
30.8.2008,46,1,0
31.8.2008,52,0,0
1.9.2008,29,0,0
2.9.2008,28,0,0
3.9.2008,26,0,0
4.9.2008,28,0,0
5.9.2008,33,0,0
6.9.2008,49,0,0
7.9.2008,52,0,0
8.9.2008,31,0,0
